ID,time,group,y,y_mean,y_sd
1,0,Lytic,9.34E+06,9093333.333,208539.8976
4,0,Lytic+Lysogenic,7.52E+06,7793333.333,193448.2417
1,3,Lytic,9.00E+06,8843333.333,168193.0108
4,3,Lytic+Lysogenic,7.89E+06,7670000,163095.0643
1,6,Lytic,8.44E+06,8093333.333,408357.1422
4,6,Lytic+Lysogenic,7.66E+06,8163333.333,733136.3372
1,17,Lytic,1.01E+07,9880000,157480.1575
4,17,Lytic+Lysogenic,8.08E+06,8476666.667,391776.5803
1,20,Lytic,9.40E+06,9903333.333,569814.7847
4,20,Lytic+Lysogenic,8.37E+06,8680000,229927.5248
1,24,Lytic,1.26E+07,10393333.33,1625962.963
4,24,Lytic+Lysogenic,8.42E+06,8453333.333,33993.46342
